"","id","weights","Region","State","Gender","SES","Age","Income","Expenses","Edu","Interest","KnowCat","PartyID","SupportPT","Ideology","VoteInt","PresPref","PresPref.rmdk","Strategic","PresPred_1","PresPred_2","PresPred_3","PredConf","IDParty","PartyID1","PartyID1_Other","IDParty2","PartyID2","PartyID2_Other","VoteInt1","VoteInt1_Other","VoteInt2","VoteInt2_Other","PresPref_Other","KB1c","KB2c","KB3c","KB4c","KB5c","KB6c","KB7c","KB8c","KB9c","KBpca"
"1",3404,11.5,"Sul","Rio Grande do Sul","Female","C1",57,"R$1.200 – R$1.799","Often","Ensino universitário completo","Very","Highest","Partido dos Trabalhadores (PT)","Support Partially","Left","Fernando Haddad (PT)","Don't Know",NA,NA,"Fernando Haddad (PT)","Ciro Gomes (PDT)","Geraldo Alckmin (PSDB)","Somewhat","Sim","Partido dos Trabalhadores (PT)","",NA,NA,"","Não sei","","Fernando Haddad (PT)",NA,"","Correct","Don't Know","Incorrect","Incorrect","Correct","Correct","Correct","Correct","Don't Know",-0.988396417991135
"2",2873,7.53,"Sul","Rio Grande do Sul","Female","D-E",46,"R$900 – R$1.199","Always","Ginásio completo (8ª série do ensino fundamental)","Not at all","Low",NA,"Neutral","Don't Know","Fernando Haddad (PT)","Don't Know",NA,NA,"Ciro Gomes (PDT)","Fernando Haddad (PT)","Jair Bolsonaro (PSL)","A little","Não",NA,"","Não sei",NA,"","Não sei","","Fernando Haddad (PT)",NA,"","Don't Know","Incorrect","Incorrect","Don't Know","Don't Know","Don't Know","Correct","Correct","Correct",0.532733933419229
"3",681,5.29,"Centro Oeste","Goiás","Male","C2",47,"R$900 – R$1.199","Always","Ginásio completo (8ª série do ensino fundamental)","A little","Lowest","Partido dos Trabalhadores (PT)","Oppose Partially","Left","Null/Blank","Don't Know",NA,NA,"Fernando Haddad (PT)","Geraldo Alckmin (PSDB)","Jair Bolsonaro (PSL)","Very","Não",NA,"","Sim","Partido dos Trabalhadores (PT)","","Não sei","","Anularia o voto ou votaria em branco",NA,"","Incorrect","Incorrect","Incorrect","Don't Know","Incorrect","Don't Know","Correct","Don't Know","Correct",0.590470821917163
"4",4955,4.97,"Sudeste","São Paulo","Male","C2",49,"R$600 – R$899","Often","Colegial completo (3ª série do ensino médio)","Very","Low",NA,"Oppose Totally","Don't Know","Jair Bolsonaro (PSL)","Jair Bolsonaro (PSL)","Jair Bolsonaro (PSL)",0,"Jair Bolsonaro (PSL)","Ciro Gomes (PDT)","Geraldo Alckmin (PSDB)","Somewhat","Não",NA,"","Não",NA,"","Não sei","","Jair Bolsonaro (PSL)",NA,"","Incorrect","Don't Know","Incorrect","Don't Know","Incorrect","Don't Know","Correct","Correct","Correct",0.532733933419229
"5",982,4.37,"Norte","Amazonas","Male","D-E",30,"R$900 – R$1.199","Sometimes","Colegial incompleto (até 2ª série do ensino médio)","A little","Highest",NA,"Neutral","Don't Know","Don't Know","Don't Know",NA,NA,"Henrique Meirelles (MDB)","Jair Bolsonaro (PSL)","Geraldo Alckmin (PSDB)","Very","Não",NA,"","Não",NA,"","Não sei","","Não sei",NA,"","Correct","Incorrect","Incorrect","Don't Know","Correct","Don't Know","Correct","Correct","Correct",-0.480838736114607
"6",2687,4.26,"Nordeste","Bahia","Female","D-E",35,"R$300 - R$599","Often","Colegial completo (3ª série do ensino médio)","Not at all","Low",NA,"Neutral","Don't Know","Don't Know","Don't Know",NA,NA,"Ciro Gomes (PDT)","Geraldo Alckmin (PSDB)","Jair Bolsonaro (PSL)","Not at all","Não",NA,"","Não",NA,"","Não sei","","Não sei",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Correct","Correct","Correct",0.532733933419229
"7",879,3.88,"Nordeste","Bahia","Female","C1",52,"R$3.400 – R$9.999",NA,"Ensino universitário completo","A little","Low",NA,"Neutral","Don't Know","Don't Know","Don't Know",NA,NA,"Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Geraldo Alckmin (PSDB)","Not at all","Não",NA,"","Não",NA,"","Não sei","",NA,NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Correct","Don't Know","Incorrect","Correct","Correct",0.0970571645124638
"8",3424,3.88,"Nordeste","Pernambuco","Female","C1",48,"R$1.800 – R$3.399","Often","Colegial completo (3ª série do ensino médio)","Somewhat","Lowest","Partido dos Trabalhadores (PT)","Support Partially","Left","Fernando Haddad (PT)","Marina Silva (REDE)","Marina Silva (REDE)",1,"Fernando Haddad (PT)","Jair Bolsonaro (PSL)","Ciro Gomes (PDT)","Somewhat","Sim","Partido dos Trabalhadores (PT)","",NA,NA,"","Não sei","","Fernando Haddad (PT)",NA,"","Incorrect","Incorrect","Incorrect","Don't Know","Don't Know","Don't Know","Correct","Correct","Don't Know",0.565702602345422
"9",4943,3.53,"Sudeste","Rio de Janeiro","Male","D-E",44,"R$900 – R$1.199","Always","Colegial completo (3ª série do ensino médio)","Not at all","Lowest",NA,"Neutral","Don't Know","Don't Know","Don't Know",NA,NA,"Ciro Gomes (PDT)","Fernando Haddad (PT)","Jair Bolsonaro (PSL)","Not at all","Não",NA,"","Não",NA,"","Não sei","","Não sei",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Don't Know","Correct","Correct",0.616024387444372
"10",2246,3.4,"Sul","Rio Grande do Sul","Female","C2",45,"R$900 – R$1.199","Often","Primário incompleto (até 3ª serie do ensino fundamental)","A little","Lowest","Partido Progressista (PP)","Neutral","Far-right","Don't Know","Ciro Gomes (PDT)","Ciro Gomes (PDT)",1,"Ciro Gomes (PDT)","Jair Bolsonaro (PSL)","Geraldo Alckmin (PSDB)","Somewhat","Sim","Partido Progressista (PP)","",NA,NA,"","Não sei","",NA,NA,"","Incorrect","Don't Know","Incorrect","Don't Know","Incorrect","Don't Know","Incorrect","Correct","Correct",0.616024387444372
"11",1137,3.13,"Sudeste","São Paulo","Female","D-E",42,"Menos de R$300","Sometimes","Ginásio incompleto (até 7ª série do ensino fundamental)","A little","Lowest",NA,"Don't Know","Don't Know","Null/Blank","Jair Bolsonaro (PSL)","Jair Bolsonaro (PSL)",1,"Geraldo Alckmin (PSDB)","Jair Bolsonaro (PSL)","Alvaro Dias (PODE)","Somewhat","Não",NA,"","Não",NA,"","Não sei","","Anularia o voto ou votaria em branco",NA,"","Incorrect","Incorrect","Incorrect","Incorrect","Incorrect","Incorrect","Incorrect","Incorrect","Correct",0.673761275942307
"12",2110,3.13,"Sudeste","São Paulo","Female","D-E",40,"R$900 – R$1.199","Rarely","Ginásio incompleto (até 7ª série do ensino fundamental)","A little","Lowest",NA,"Neutral","Center","Geraldo Alckmin (PSDB)","Don't Know",NA,NA,"Marina Silva (REDE)","Fernando Haddad (PT)","Geraldo Alckmin (PSDB)","Not at all","Não",NA,"","Não sei",NA,"","Não sei","","Geraldo Alckmin (PSDB)",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Don't Know","Correct","Correct",0.616024387444372
"13",2964,2.89,"Nordeste","Ceará","Male","D-E",32,NA,"Always","Ginásio completo (8ª série do ensino fundamental)","Not at all","Lowest",NA,"Don't Know","Don't Know","Don't Know","Don't Know",NA,NA,"Ciro Gomes (PDT)","Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Not at all","Não sei",NA,"","Não sei",NA,"","Não sei","","Não sei",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",0.7067299448685
"14",3965,2.42,"Sul","Rio Grande do Sul","Female","D-E",38,"R$900 – R$1.199","Often","Ginásio incompleto (até 7ª série do ensino fundamental)","A little","Lowest",NA,"Neutral","Don't Know","Fernando Haddad (PT)","Fernando Haddad (PT)","Fernando Haddad (PT)",0,"Fernando Haddad (PT)","Ciro Gomes (PDT)","Geraldo Alckmin (PSDB)","Very","Não",NA,"","Não",NA,"","Não sei","","Fernando Haddad (PT)",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Don't Know","Correct","Correct",0.616024387444372
"15",812,2.39,"Sudeste","São Paulo","Female","A",65,"R$10.000 – R$27.999","Rarely","Pós-graduação completo ou mais","Very","Highest",NA,"Oppose Totally","Center","Don't Know","Geraldo Alckmin (PSDB)","Geraldo Alckmin (PSDB)",1,"Jair Bolsonaro (PSL)","Geraldo Alckmin (PSDB)","Fernando Haddad (PT)","A little","Não",NA,"","Não",NA,"","Não sei","","Não sei",NA,"","Correct","Don't Know","Incorrect","Correct","Correct","Correct","Incorrect","Correct","Don't Know",-1.3202861234154
"16",975,2.2,"Sul","Paraná","Female","C1",47,"R$1.200 – R$1.799","Always","Primário incompleto (até 3ª serie do ensino fundamental)","Not at all","Lowest",NA,"Neutral","Don't Know","Fernando Haddad (PT)","Don't Know",NA,NA,"Jair Bolsonaro (PSL)","Geraldo Alckmin (PSDB)","Fernando Haddad (PT)","A little","Não",NA,"","Não",NA,"","Não sei","","Fernando Haddad (PT)",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Incorrect","Correct","Correct",0.616024387444372
"17",2109,2.17,"Nordeste","Pernambuco","Male","C2",35,"R$900 – R$1.199","Always","Colegial completo (3ª série do ensino médio)","A little","Lowest",NA,"Don't Know","Don't Know","Don't Know","Don't Know",NA,NA,"Geraldo Alckmin (PSDB)","Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Very","Não",NA,"","Não",NA,"","Não sei","","Não sei",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Incorrect","Correct","Correct",0.616024387444372
